Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
244.83,244.859,244.81,244.81,0,0.0,0.0,AAPL
244.81,244.87,244.8,244.8,0,0.0,0.0,AAPL
244.859,244.89,244.859,244.89,0,0.0,0.0,AAPL
244.75,244.82,244.7,244.7,0,0.0,0.0,AAPL
244.75,244.75,244.75,244.75,0,0.0,0.0,AAPL
244.71,244.71,244.69,244.71,0,0.0,0.0,AAPL
244.74,244.75,244.68,244.75,0,0.0,0.0,AAPL
244.74,244.74,244.74,244.74,0,0.0,0.0,AAPL
244.74,244.74,244.73,244.73,0,0.0,0.0,AAPL
244.72,244.72,244.72,244.72,0,0.0,0.0,AAPL
244.73,244.73,244.7,244.7,0,0.0,0.0,AAPL
244.74,244.76,244.71,244.76,0,0.0,0.0,AAPL
244.83,244.83,244.8,244.83,0,0.0,0.0,AAPL
244.83,244.85,244.73,244.73,0,0.0,0.0,AAPL
244.7,244.7,244.7,244.7,0,0.0,0.0,AAPL
244.73,244.73,244.7,244.7,0,0.0,0.0,AAPL
244.69,244.69,244.65,244.65,0,0.0,0.0,AAPL
244.69,244.81,244.69,244.81,0,0.0,0.0,AAPL
244.83,244.84,244.83,244.84,0,0.0,0.0,AAPL
244.84,244.89,244.83,244.87,0,0.0,0.0,AAPL
244.84,244.9,244.84,244.9,0,0.0,0.0,AAPL
244.919,244.93,244.919,244.93,0,0.0,0.0,AAPL
244.92,244.92,244.9,244.9,0,0.0,0.0,AAPL
244.929,244.929,244.89,244.89,0,0.0,0.0,AAPL
244.87,244.87,244.86,244.86,0,0.0,0.0,AAPL
244.82,244.82,244.74,244.74,0,0.0,0.0,AAPL
244.75,244.75,244.75,244.75,0,0.0,0.0,AAPL
244.75,244.75,244.75,244.75,0,0.0,0.0,AAPL
244.8,244.8,244.79,244.8,0,0.0,0.0,AAPL
244.8,244.8,244.77,244.77,0,0.0,0.0,AAPL
244.79,244.79,244.79,244.79,0,0.0,0.0,AAPL
244.79,244.85,244.79,244.85,0,0.0,0.0,AAPL
244.86,244.95,244.86,244.95,0,0.0,0.0,AAPL
244.93,244.93,244.88,244.88,0,0.0,0.0,AAPL
244.86,244.89,244.85,244.89,0,0.0,0.0,AAPL
244.89,244.89,244.8,244.8,0,0.0,0.0,AAPL
244.8,244.82,244.8,244.82,0,0.0,0.0,AAPL
244.82,244.82,244.79,244.79,0,0.0,0.0,AAPL
244.79,244.79,244.79,244.79,0,0.0,0.0,AAPL
244.81,244.81,244.81,244.81,0,0.0,0.0,AAPL
244.81,244.82,244.79,244.79,0,0.0,0.0,AAPL
244.82,244.82,244.82,244.82,0,0.0,0.0,AAPL
244.82,244.83,244.81,244.81,0,0.0,0.0,AAPL
244.81,244.81,244.81,244.81,0,0.0,0.0,AAPL
244.79,244.81,244.79,244.8,0,0.0,0.0,AAPL
244.81,244.81,244.81,244.81,0,0.0,0.0,AAPL
244.79,244.79,244.75,244.75,0,0.0,0.0,AAPL
244.75,244.75,244.73,244.73,0,0.0,0.0,AAPL
244.75,244.9,244.75,244.9,0,0.0,0.0,AAPL
244.9,244.9,244.89,244.9,0,0.0,0.0,AAPL
244.9,244.92,244.9,244.92,0,0.0,0.0,AAPL
244.92,244.95,244.92,244.95,0,0.0,0.0,AAPL
244.95,245.0,244.94,244.98,0,0.0,0.0,AAPL
244.98,244.99,244.98,244.99,0,0.0,0.0,AAPL
244.99,244.99,244.98,244.99,0,0.0,0.0,AAPL
244.98,244.98,244.95,244.95,0,0.0,0.0,AAPL
244.75,245.3888,244.64,244.95,0,0.0,0.0,AAPL
244.93,245.38,244.6412,244.8983,0,0.0,0.0,AAPL
244.9,245.55,244.7855,244.8602,0,0.0,0.0,AAPL
244.86,244.87,244.8,244.8,0,0.0,0.0,AAPL
244.801,244.8693,244.801,244.8693,0,0.0,0.0,AAPL
244.826,244.87,244.6,244.794,0,0.0,0.0,AAPL
244.8,244.85,244.77,244.7737,0,0.0,0.0,AAPL
244.81,244.84,244.77,244.8099,0,0.0,0.0,AAPL
244.8088,244.81,244.78,244.79,0,0.0,0.0,AAPL
244.79,244.81,244.78,244.78,0,0.0,0.0,AAPL
244.77,244.81,244.73,244.7592,0,0.0,0.0,AAPL
244.7476,244.75,244.73,244.73,0,0.0,0.0,AAPL
244.7476,244.7476,244.73,244.73,0,0.0,0.0,AAPL
244.73,244.78,244.726,244.726,0,0.0,0.0,AAPL
244.72,244.7683,244.7,244.7083,0,0.0,0.0,AAPL
244.77,244.77,244.7,244.7017,0,0.0,0.0,AAPL
244.7,244.7488,244.7,244.71,0,0.0,0.0,AAPL
244.71,244.7799,244.7,244.7,0,0.0,0.0,AAPL
244.71,244.78,244.7,244.71,0,0.0,0.0,AAPL
244.72,244.73,244.7,244.71,0,0.0,0.0,AAPL
244.71,244.75,244.7,244.73,0,0.0,0.0,AAPL
244.706,244.76,244.706,244.74,0,0.0,0.0,AAPL
244.737,244.7795,244.737,244.7714,0,0.0,0.0,AAPL
244.77,244.85,244.76,244.82,0,0.0,0.0,AAPL
244.849,244.85,244.81,244.85,0,0.0,0.0,AAPL
244.83,244.85,244.81,244.81,0,0.0,0.0,AAPL
244.82,244.85,244.81,244.811,0,0.0,0.0,AAPL
244.82,244.85,244.81,244.85,0,0.0,0.0,AAPL
244.84,244.84,244.72,244.8099,0,0.0,0.0,AAPL
244.8,244.81,244.6,244.65,0,0.0,0.0,AAPL
244.67,244.79,244.4,244.51,0,0.0,0.0,AAPL
244.6,244.68,244.5,244.65,0,0.0,0.0,AAPL
244.47,244.49,244.4,244.47,0,0.0,0.0,AAPL
244.41,244.49,244.2,244.3,0,0.0,0.0,AAPL
244.28,244.39,244.23,244.29,0,0.0,0.0,AAPL
244.2,244.39,244.2,244.32,0,0.0,0.0,AAPL
244.31,244.48,244.21,244.41,0,0.0,0.0,AAPL
244.46,244.46,244.4007,244.43,0,0.0,0.0,AAPL
244.42,244.64,241.375,244.57,0,0.0,0.0,AAPL
244.5992,244.639,244.57,244.59,0,0.0,0.0,AAPL
244.63,244.65,244.5822,244.6428,0,0.0,0.0,AAPL
244.6378,244.67,244.59,244.65,0,0.0,0.0,AAPL
244.65,244.67,244.636,244.67,0,0.0,0.0,AAPL
244.6301,244.7,244.6301,244.6766,0,0.0,0.0,AAPL
244.71,244.75,244.6705,244.75,0,0.0,0.0,AAPL
244.7112,244.82,244.7112,244.75,0,0.0,0.0,AAPL
244.72,244.76,244.66,244.6807,0,0.0,0.0,AAPL
244.71,244.76,244.64,244.69,0,0.0,0.0,AAPL
244.695,244.75,244.6427,244.6525,0,0.0,0.0,AAPL
244.72,244.7477,244.66,244.7,0,0.0,0.0,AAPL
244.7,244.74,244.7,244.72,0,0.0,0.0,AAPL
244.73,244.8379,244.71,244.8379,0,0.0,0.0,AAPL
244.75,244.84,244.75,244.82,0,0.0,0.0,AAPL
244.82,244.83,244.73,244.73,0,0.0,0.0,AAPL
244.75,244.7977,244.73,244.73,0,0.0,0.0,AAPL
244.75,244.8,244.74,244.74,0,0.0,0.0,AAPL
244.73,244.75,244.7,244.7484,0,0.0,0.0,AAPL
244.744,244.75,244.7164,244.7164,0,0.0,0.0,AAPL
244.73,244.75,244.7012,244.72,0,0.0,0.0,AAPL
244.749,244.75,244.7,244.7484,0,0.0,0.0,AAPL
244.7488,244.75,244.69,244.749,0,0.0,0.0,AAPL
244.74,244.76,244.7314,244.7314,0,0.0,0.0,AAPL
244.74,244.8,244.73,244.7501,0,0.0,0.0,AAPL
244.75,244.83,244.75,244.8,0,0.0,0.0,AAPL
244.81,244.84,244.75,244.7508,0,0.0,0.0,AAPL
244.7988,244.8,244.74,244.77,0,0.0,0.0,AAPL
244.75,244.76,244.7,244.7,0,0.0,0.0,AAPL
244.73,244.8,244.68,244.7,0,0.0,0.0,AAPL
244.7,244.7387,244.6,244.63,0,0.0,0.0,AAPL
244.63,244.74,244.6,244.6793,0,0.0,0.0,AAPL
244.681,244.69,244.6,244.6852,0,0.0,0.0,AAPL
244.67,244.74,244.63,244.72,0,0.0,0.0,AAPL
244.63,244.69,244.31,244.31,0,0.0,0.0,AAPL
244.39,244.4,244.3122,244.37,0,0.0,0.0,AAPL
244.39,244.4,244.3197,244.38,0,0.0,0.0,AAPL
244.4,244.4,244.3001,244.3009,0,0.0,0.0,AAPL
244.3,244.32,244.25,244.25,0,0.0,0.0,AAPL
244.27,244.346,244.25,244.27,0,0.0,0.0,AAPL
244.3,244.3158,244.01,244.2903,0,0.0,0.0,AAPL
244.23,244.29,244.14,244.14,0,0.0,0.0,AAPL
244.17,244.21,244.07,244.13,0,0.0,0.0,AAPL
244.1,244.29,244.07,244.19,0,0.0,0.0,AAPL
244.1501,244.3,244.1501,244.27,0,0.0,0.0,AAPL
244.2601,244.35,244.2601,244.35,0,0.0,0.0,AAPL
244.3495,244.35,244.27,244.34,0,0.0,0.0,AAPL
244.3,244.34,243.61,243.89,0,0.0,0.0,AAPL
243.9,243.93,243.66,243.72,0,0.0,0.0,AAPL
243.6903,243.75,242.82,243.46,0,0.0,0.0,AAPL
243.84,244.17,243.5,243.72,0,0.0,0.0,AAPL
243.841,244.15,243.67,244.1,0,0.0,0.0,AAPL
244.44000244140625,245.0050048828125,243.91000366210938,244.44000244140625,3216505,0.0,0.0,AAPL
244.23989868164062,245.0,243.97000122070312,244.23989868164062,348777,0.0,0.0,AAPL
243.27499389648438,244.16000366210938,242.860107421875,243.27499389648438,317679,0.0,0.0,AAPL
243.6999969482422,243.91000366210938,243.02000427246094,243.6999969482422,214078,0.0,0.0,AAPL
243.6999969482422,243.9499969482422,243.5399932861328,243.7550048828125,202203,0.0,0.0,AAPL
243.0343017578125,243.9510040283203,242.97000122070312,243.0343017578125,411265,0.0,0.0,AAPL
243.74000549316406,243.91000366210938,243.0,243.74000549316406,270902,0.0,0.0,AAPL
243.7100067138672,243.9499969482422,243.52000427246094,243.92999267578125,193691,0.0,0.0,AAPL
243.9149932861328,243.9499969482422,243.52000427246094,243.9499969482422,171644,0.0,0.0,AAPL
243.89999389648438,243.9499969482422,243.52000427246094,243.63999938964844,125720,0.0,0.0,AAPL
243.66000366210938,243.66000366210938,242.9199981689453,243.10499572753906,211730,0.0,0.0,AAPL
243.09010314941406,243.50970458984375,243.0500030517578,243.3699951171875,183057,0.0,0.0,AAPL
243.3719940185547,243.50999450683594,243.3300018310547,243.3719940185547,118401,0.0,0.0,AAPL
243.3699951171875,243.69000244140625,243.3300018310547,243.57000732421875,115297,0.0,0.0,AAPL
243.61000061035156,243.8533935546875,243.5500030517578,243.61000061035156,105811,0.0,0.0,AAPL
243.58999633789062,243.6999969482422,243.22999572753906,243.22999572753906,143626,0.0,0.0,AAPL
243.24000549316406,243.61000061035156,243.24000549316406,243.61000061035156,134442,0.0,0.0,AAPL
243.625,244.07960510253906,243.53500366210938,244.05999755859375,154013,0.0,0.0,AAPL
244.27749633789062,244.3144073486328,244.00999450683594,244.27749633789062,128150,0.0,0.0,AAPL
244.27999877929688,244.60000610351562,244.22000122070312,244.4532012939453,138757,0.0,0.0,AAPL
244.44000244140625,244.6199951171875,244.3000030517578,244.35000610351562,131990,0.0,0.0,AAPL
244.35000610351562,244.5800018310547,244.3000030517578,244.52000427246094,93003,0.0,0.0,AAPL
244.51499938964844,244.7635040283203,244.51499938964844,244.7104949951172,98909,0.0,0.0,AAPL
244.75,245.10000610351562,244.72000122070312,244.89500427246094,206805,0.0,0.0,AAPL
244.98570251464844,245.0,244.8300018310547,244.98570251464844,96899,0.0,0.0,AAPL
244.98500061035156,245.0500030517578,244.88999938964844,245.02000427246094,102288,0.0,0.0,AAPL
245.0800018310547,245.17999267578125,244.97999572753906,245.0800018310547,132620,0.0,0.0,AAPL
245.0926055908203,245.10000610351562,244.9145050048828,244.99000549316406,167585,0.0,0.0,AAPL
244.97540283203125,245.0399932861328,244.9199981689453,244.96499633789062,94543,0.0,0.0,AAPL
244.9600067138672,245.12570190429688,244.77059936523438,244.92999267578125,243359,0.0,0.0,AAPL
244.94000244140625,245.09719848632812,244.80999755859375,244.86000061035156,109368,0.0,0.0,AAPL
244.83999633789062,244.83999633789062,244.181396484375,244.2899932861328,176684,0.0,0.0,AAPL
244.2646942138672,244.7899932861328,244.11000061035156,244.3300018310547,108356,0.0,0.0,AAPL
244.30630493164062,244.44000244140625,244.21009826660156,244.3000030517578,59735,0.0,0.0,AAPL
244.32000732421875,244.67999267578125,244.30999755859375,244.66000366210938,77789,0.0,0.0,AAPL
244.67999267578125,244.6999969482422,244.39999389648438,244.49000549316406,73232,0.0,0.0,AAPL
244.3800048828125,244.50999450683594,244.2100067138672,244.3800048828125,80687,0.0,0.0,AAPL
244.3800048828125,244.83999633789062,244.3699951171875,244.64990234375,90208,0.0,0.0,AAPL
244.63499450683594,244.65499877929688,244.5,244.57009887695312,51776,0.0,0.0,AAPL
244.5749969482422,244.5749969482422,244.25,244.3699951171875,55542,0.0,0.0,AAPL
244.44000244140625,244.57000732421875,244.27999877929688,244.4199981689453,46602,0.0,0.0,AAPL
244.47000122070312,244.64999389648438,244.39990234375,244.47000122070312,53742,0.0,0.0,AAPL
244.47500610351562,244.47999572753906,244.28109741210938,244.47000122070312,75118,0.0,0.0,AAPL
244.48500061035156,244.48500061035156,244.1999969482422,244.39999389648438,75510,0.0,0.0,AAPL
244.40750122070312,244.59500122070312,244.35000610351562,244.46009826660156,54426,0.0,0.0,AAPL
244.47999572753906,244.60560607910156,244.35000610351562,244.41000366210938,58662,0.0,0.0,AAPL
